,0
New York,2448.7400970695758
Salt Lake City,590.0860937228115
Baltimore,2323.8609019947103
Moscow,6106.2938550646595
Manila,7295.093032440943
Seoul,5981.869437136844
Chicago,1741.1557947329989
Austin,1239.2611972777706
Boston,2605.4670261810847
Dallas,1232.341029652886
Denver,848.2767211606532
Eugene,748.8324079218219
Fort Lauderdale,2338.427478183446
"Honolulu, Oahu",2552.6906590271024
Houston,1387.2053645218402
Ithaca,2327.331642894909
Jackson,1671.6036343186754
Kalamazoo,1863.0469405335314
Kodiak,2278.8170192859457
Las Vegas,236.16797998408
Los Angeles,0.06720074922547069
McCook,1070.8813544113889
New Orleans,1667.5190461192296
St. George,347.4442203077284
Sun Valley,696.4604572756588
Tallahassee,1997.6542640094408
Thief River Falls,1505.2030940539494
Tupelo,1689.9818496824983
Valdosta,2051.995190580102
Visalia,173.47120391897474
Watertown,1357.622190020729
Wausau,1696.5513660737467
Yakutat,2013.235915297357
Rochester,1544.9015074106073
Rockford,1683.5664890866703
Salina,1199.4154601587343
Beijing,6237.024689153637
Tokyo,5476.449526355686
Dubai,8326.716934379117
London,5443.384474469559
Shanghai,6472.400551370681
Hongkong,7234.960282269089
Paris,5656.268060075879
Amsterdam,5565.236997925051
Frankfurt,5791.351450988248
Singapore,8762.161537391095
Bang Phli,8252.23181026404
Delhi,8000.009028876081
Banten,8979.086440560275
 Selangor,8800.407258155314
Madrid,5832.913562256888
Barcelona,6011.760019735178
Toronto,2171.4119746586334
Rome,6340.188146049486
Ṣo Paulo,6163.206126972464
Sydney,7494.459423365958
Moscow,6063.142261216652
Mexico City,1553.4511681677948
 Istanbul,6835.479968883908
Santiago,5583.79122868885
Zagreb,6241.231598990582
Copenhagen,5610.166588945548
Cairo,7591.2087660368525
Athens,6914.053354359689
Tribhuvan,7902.431297646552
Lima,4175.903100096915
